,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
21,-143.8700195328494,-147.31464295828474,-135.20005140505455,-140.9492357017517,-145.26382858934608,-145.3861888426784,-145.0901361479364,-140.35163372228718,-136.60245928321382,-149.26744654778713,-142.09847684239958,-148.31037486046603,-145.47423540654177,-145.6290011364533,-138.86335756354583,-146.59011857976955,-134.3377143152533,-138.17636899935925,-138.57621258871043,-144.3481250771696,-143.0196887400707,-144.44590746016382,-144.98406504272685,-139.48622345991348,-142.93092770707682,-134.3957397351092,-137.78444022405645,-140.14652529652864,-149.80661682763701,-142.40612854625795
22,-151.25651335943712,-152.6535168298339,-145.46589520631636,-153.69403518570297,-157.85631571177925,-150.6183913341284,-153.80098384917085,-146.8840857224087,-151.11635427931867,-159.65337625930053,-151.21213078959047,-152.57878505358775,-156.5911357090129,-154.51025924155726,-148.1828575709139,-153.38431095837637,-145.46889703636072,-151.02864778816547,-147.35912119080228,-149.47513364258174,-150.08252651532018,-147.97026042534603,-152.8819470883226,-150.79371014629874,-150.49018787247272,-143.355553173614,-152.44227953578735,-150.347646147059,-155.86502442369016,-148.3123834246538
23,-151.65989920514025,-152.02495013066613,-150.84044939793333,-153.88926994117702,-155.96169199517635,-153.87538114375414,-153.72212497198163,-147.3029419818396,-153.09904995529413,-155.83197058076985,-148.15084920841855,-151.84448027512875,-159.24823298658256,-153.93161221581835,-151.96402523956587,-151.28771618134664,-151.43846425597067,-152.16272148711016,-149.96412163745987,-148.2082312467254,-152.40485630794518,-148.6975374425619,-151.88233295970366,-151.8352424796359,-153.09968058763525,-146.69884939502478,-153.5807068531465,-153.3835420534425,-153.14426423014643,-150.68680566902862
24,-142.50683414754968,-147.73955234135371,-150.01342356430348,-145.59530763429797,-150.73145478645256,-149.09400733185907,-148.36115416803287,-144.97436027383003,-144.4054277243441,-145.64985194988256,-141.7646758391664,-144.56996395338913,-152.74697605563145,-146.38850410928933,-147.66421675337617,-147.08861707055772,-148.1244719935957,-146.33936309256373,-145.1204977223687,-141.50922843895358,-148.10468907662099,-143.74807865729994,-145.08411972030524,-143.97019202397675,-147.98385488056778,-143.4854445481489,-147.04702086525202,-147.58230211896938,-148.82833188890797,-146.5654983496673
25,-134.78444372868526,-143.26765214137316,-146.41882550900976,-144.54956117758817,-147.64121114807372,-141.33698785120325,-144.9604509856389,-140.41317879804748,-138.3032024676351,-138.09558309969222,-137.18989025019766,-138.62433526477884,-148.60777301857988,-141.92286424036402,-143.34303376669354,-146.2044903590878,-143.95971374989583,-139.99600063949674,-140.57327836999207,-135.23610226790183,-143.21901742637536,-138.64180870833755,-139.2804354254968,-139.08070442860918,-142.8191801295214,-142.14290732264365,-141.34526201452624,-141.28762705888406,-141.8579961067529,-139.11893440520947
26,-130.05243153417766,-136.23372493957197,-140.73549540234865,-145.19884995403794,-144.68369035786904,-133.17227400699835,-145.2077751608219,-135.90290005624297,-136.0041189124875,-134.50013487483628,-137.04644573256172,-134.69422907934134,-142.1404762552928,-138.98972177061148,-140.99309991017827,-144.6416940366896,-140.34740234090862,-135.84477790871216,-136.42262154870394,-127.85192014366221,-137.74386717145225,-136.305188666395,-139.6201735868087,-136.08522598957396,-143.62479394166385,-140.09787578128643,-140.07955158047267,-134.95039836293643,-136.20002110831902,-132.5633870870947
27,-132.2614385951307,-139.48401455851567,-140.13703451712703,-146.92831103511963,-148.17238026582652,-139.1724596286557,-146.41543826646577,-141.0953563834163,-142.9346539100166,-140.43801400991768,-140.81121120968143,-138.84382970943304,-138.71551024868205,-139.39633261179688,-141.5566772039335,-146.9774049957004,-141.347727232905,-139.31413851815572,-137.4020648418614,-128.55767944102107,-141.39193014846478,-139.79050024872078,-143.53189578294402,-139.60301047574922,-148.9889780137612,-139.5787521062809,-145.5538166818127,-139.86264470935973,-138.98668424549393,-133.55750097965677
28,-146.28064780383463,-153.67759551334015,-144.94882628271293,-152.99586859115576,-156.44395889556435,-151.1098843527103,-151.7622601544479,-151.38262537667114,-154.9469116337033,-151.62808011803492,-150.6905344062703,-150.05589495794646,-150.26138837367665,-149.36744685463256,-149.500353837075,-154.72955784991672,-152.8776279841934,-149.37370731098366,-147.7320066963258,-142.4339598821153,-152.46962080196357,-148.80772823474288,-148.0613298470553,-149.68320358816104,-154.10112960388932,-148.01611337625593,-156.60882553236,-150.33661895686717,-152.43576446578814,-144.54326258198589
29,-154.86166961556714,-158.25096594260813,-150.1014979279077,-152.3655338872125,-155.68678779991208,-151.72957549320301,-153.0227615387534,-153.4045262755513,-157.11059739290502,-151.64677272830173,-156.1111165463274,-153.86900996394598,-156.84345691657958,-154.49049270370696,-155.08882154987998,-157.1583237773319,-155.02218474530983,-153.58098300260494,-151.04811390909472,-151.63203707616236,-154.111069913388,-151.17858848813253,-150.97438253023955,-155.2054221754607,-154.12763501458926,-153.44704932939743,-160.47720880577538,-151.28266642185653,-158.19150771530056,-152.9804483442901
30,-148.1328265346435,-151.28486061464764,-149.23962838262005,-143.67353274813405,-148.84851808639127,-145.37444376865392,-149.7312943286153,-147.83049831279243,-150.9125724440384,-147.82524775973704,-151.18096436009813,-148.0334346709026,-149.22978464816273,-149.9218198589367,-150.75613325229736,-147.31451383700767,-148.1791638537725,-152.11586635454967,-144.01272403135965,-147.63235370073423,-146.93067909700036,-144.9428180211305,-147.28734890672015,-152.0626197515355,-151.01323994042272,-146.37700274711082,-152.1030577546503,-146.9197691891376,-149.3794309388051,-148.70556355030115
