,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
17,-16.078835634701374,-13.62967968209224,-14.71343868831098,-13.205311733447536,-20.05317208221803,-20.67496269878732,-17.234382788292773,-19.051797027656132,-14.15137975575772,-15.241998526213575,-15.762916924193416,-14.352970993081664,-13.533209308741503,-12.268787335182969,-13.13484128844843,-13.283728118037228,-17.022739918452157,-15.3034426108291,-12.047697132264085,-16.01147764739714,-17.47012404396256,-12.212589043813544,-14.770965397597756,-16.99096358010932,-15.720659935673275
18,-17.581016444847172,-16.994643058167064,-12.859302340242975,-11.004685707146157,-19.7259740263465,-18.780257417628988,-17.66509883941338,-17.607442560114936,-11.631335957733615,-13.554275841867383,-13.625817276776004,-16.77144018454493,-16.30643203758971,-11.053139475234447,-13.182575893049517,-17.267611359608505,-15.313060380751882,-17.08984391635437,-10.351131126889445,-13.616558324815957,-21.2155180109249,-11.065393965011143,-12.964477455920242,-16.24953900468044,-16.6786994667158
19,-20.986312087954893,-14.390153941890254,-10.2202199132779,-13.097228066101522,-16.207800494569376,-15.693025304293814,-16.099520039250738,-15.690250206102743,-15.010068564036633,-12.762042307714895,-13.237837203870916,-16.40144639427325,-14.621789612276991,-12.244529233488171,-18.008837233193088,-16.80549469106631,-17.895825586412695,-20.351001616002666,-9.306130866257009,-9.490664482948578,-22.70937017426245,-10.27222206139887,-11.063852619640782,-14.649662464406564,-17.40573924954604
20,-24.311367312511074,-11.187702504973249,-11.233856360495787,-12.708913085108604,-15.979607461503715,-13.074079452108784,-12.16676643226882,-13.255890605781538,-17.86230191008512,-16.33325877080059,-10.9864663066256,-17.06151511601822,-8.184636595638837,-9.158386390455089,-20.426413731376698,-11.242313287417694,-17.48089029020309,-19.096478183184924,-11.90698913634101,-8.453827876965642,-20.309504835290877,-12.101710401855224,-7.452811959377582,-17.832578824525818,-16.633720292835452
21,-22.596179614345743,-10.749837854313986,-13.710264694095816,-14.990708859285586,-19.71010420417959,-14.709652735617471,-9.950444296535045,-13.663226212378396,-19.19278140266386,-17.793330814575313,-13.28925627764572,-17.468658389754648,-7.6077469510742475,-7.1429648687437,-19.953571652375224,-8.416944528514142,-13.886505125193889,-19.891495451737953,-17.785263036107143,-10.476755744486749,-17.321294938036843,-18.04017609426007,-10.781520523669906,-22.677600379204264,-15.284267331313957
22,-16.23303899165107,-15.608894252786023,-14.522996402406982,-17.591968392173804,-22.1783375527597,-16.77139620116546,-13.93422154017901,-14.682041768886666,-20.38433107636327,-16.647077214231363,-16.57358761273285,-13.826843788078863,-12.510765535775905,-12.341506660287978,-15.396139544008937,-10.415451809042857,-14.48839966701432,-22.104749544576215,-20.047732779980592,-15.681798384716762,-17.758263096417597,-19.74771743880699,-14.735846836241986,-23.388183140591458,-17.90360296301069
23,-11.400430936531794,-19.479445508246982,-13.772734341176728,-17.138409572571998,-17.764764190587677,-15.611239515878783,-15.162147191929735,-14.234578257583788,-19.113793382966808,-16.05867906031438,-16.0751480787267,-14.491990637172748,-15.57629667851939,-15.926664047698948,-12.60678677406994,-13.72491979624781,-14.939441343345237,-16.636472946435738,-16.662606654377427,-19.064561491746698,-19.432720705159905,-17.474587540060178,-13.412683093753719,-21.74952845521733,-16.426632502842175
24,-11.288435603038957,-15.482432284640453,-12.997575997623382,-15.433287032913185,-15.231955915870765,-16.350309295667117,-11.652658776464257,-14.681927430119172,-16.57495792727969,-14.378614455786638,-16.349280744929374,-17.60737264713207,-13.8704691864985,-13.617369636332125,-13.63421753832566,-16.550382067431556,-17.83922160826487,-12.758165345548,-14.667402065383948,-18.841875652327406,-18.50314588273957,-16.678114672408622,-9.24646740109456,-18.970701609867408,-13.390409676043062
25,-13.04997991975626,-10.31913380553424,-15.490222577276315,-12.389878911366061,-15.61889746388544,-15.634314068445207,-9.517754002243977,-14.345941413310697,-14.10327405109963,-13.407890585672222,-12.849073170178029,-17.860865109405843,-13.690297262584558,-10.933678971795983,-13.675675787023343,-18.186422894948176,-20.542164954788024,-12.799617214949476,-15.551778668104623,-16.697081630180623,-20.001160209801032,-15.351434787573538,-11.195510806263202,-19.7262332941871,-13.80777164211509
26,-14.40195197432523,-10.412640121715418,-18.95721916684858,-8.870184917479833,-13.948903775540066,-16.006048424958756,-10.196990626373278,-14.350544787149037,-15.081090672281855,-12.410621470096531,-9.360897271497214,-18.17063923018527,-13.544081685808576,-10.347308210120552,-15.101951169437436,-19.387314841278027,-18.512348075578988,-13.440400598508992,-11.030468656387539,-12.156197098132079,-19.678508806449738,-15.309497209369795,-14.917606993598424,-21.605204900788426,-13.605704061685797
